	SNP	Chromosome	Position	trait1
1	ENSG00000196616	4	100226120	3.19677688226246e-32
2	ENSG00000187758	4	100197523	5.81261382912398e-16
3	ENSG00000248144	4	100257648	4.60492128617669e-15
4	ENSG00000163114	4	96761238	9.59092526617057e-13
5	ENSG00000111640	12	6643092	3.15766796542886e-11
6	ENSG00000124253	20	56136135	1.85417190541111e-10
7	ENSG00000111275	12	112204690	1.68064766918371e-09
8	ENSG00000166800	11	18477370	2.92483103198962e-09
9	ENSG00000102144	23	77320684	1.03033991049652e-06
10	ENSG00000159322	15	73043709	1.28401458192678e-06
11	ENSG00000067225	15	72491369	2.7125961181242e-06
12	ENSG00000111669	12	6976282	4.92166506454313e-06
13	ENSG00000106633	7	44183871	8.75317929661031e-06
14	ENSG00000198099	4	100044807	1.10955777796737e-05
15	ENSG00000143149	1	165631452	1.83908974946492e-05
16	ENSG00000170950	6	49753365	3.02442789895412e-05
17	ENSG00000149925	16	30064410	4.21672717347927e-05
18	ENSG00000105220	19	34855644	8.50454415189091e-05
19	ENSG00000152254	2	169757749	0.000181875376221181
20	ENSG00000131069	20	33459948	0.000189071842805
21	ENSG00000136872	9	104182859	0.000247381537923751
22	ENSG00000074800	1	8921060	0.000321167480004803
23	ENSG00000168291	3	58413356	0.00034059382721657
24	ENSG00000164904	5	125877532	0.000415431553983329
25	ENSG00000072210	17	19551448	0.000581703788578922
26	ENSG00000079739	1	64058946	0.000793704684430861
27	ENSG00000188316	10	118609022	0.000805970406246264
28	ENSG00000131482	17	41052813	0.00105891055572267
29	ENSG00000197894	4	99992131	0.00106971972910644
30	ENSG00000159399	2	75061107	0.00155685164292132
31	ENSG00000172331	7	134331559	0.00225632707820888
32	ENSG00000141349	17	42148102	0.00246850109307453
33	ENSG00000172955	4	100123794	0.00256726257706461
34	ENSG00000226784	23	77223457	0.00288224985075945
35	ENSG00000134333	11	18415934	0.00357456743118051
36	ENSG00000091140	7	107531414	0.0101174884840832
37	ENSG00000165140	9	97365414	0.0131703339626764
38	ENSG00000137124	9	38392660	0.0136568806679246
39	ENSG00000067057	10	3109711	0.0161138360454995
40	ENSG00000156510	10	70980058	0.0269102704315937
41	ENSG00000111674	12	7022908	0.0322244713449227
42	ENSG00000171989	15	59499041	0.034652359626466
43	ENSG00000130957	9	97321001	0.0386186386896835
44	ENSG00000143891	2	38893051	0.0390615643463275
45	ENSG00000164708	7	44102325	0.0490732451854541
46	ENSG00000166796	11	18433853	0.0499807338933904
47	ENSG00000111716	12	21796983	0.10086234191065
48	ENSG00000105679	19	36024313	0.116388231284208
49	ENSG00000109107	17	26900132	0.171087125048217
50	ENSG00000132746	11	67429632	0.182243316170191
51	ENSG00000152556	12	48498921	0.222419566943644
52	ENSG00000184254	15	101419580	0.244010795408095
53	ENSG00000160883	5	176307869	0.321602285743475
54	ENSG00000154930	20	24986867	0.338408331724231
55	ENSG00000150768	11	111895537	0.36093288864005
56	ENSG00000100889	14	24563261	0.400521617383032
57	ENSG00000108602	17	19641296	0.415405537733009
58	ENSG00000006534	11	67776047	0.448873083928106
59	ENSG00000131828	23	19362010	0.467306046456189
60	ENSG00000141959	21	45719933	0.493161072996035
61	ENSG00000196344	4	100333417	0.530578344843869
62	ENSG00000143627	1	155259629	0.567928259236429
63	ENSG00000169299	4	37828254	0.704040080197141
64	ENSG00000117448	1	46016214	0.801290480260307
65	ENSG00000156515	10	71029739	0.861614497485557
66	ENSG00000171314	10	99185916	0.907740184293976
67	ENSG00000108515	17	4851386	0.939628825654063
68	ENSG00000107789	10	89264631	0.961586431479288
